date,time,Power,solar_azimuth,solar_zenith,solar_elevation,solar_time,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,temperature_2m,dewpoint_2m,relativehumidity_2m,surface_pressure,windspeed_10m,winddirection_10m,cloudcover,cloudcover_low,cloudcover_mid,cloudcover_high,precipitation,rain,snowfall,weathercode,cloud_radiation,pvsim,Lag_24,Lag_25,Lag_48,Lag_72
2022-01-01,00:00:00,0.0,34.99376975417502,140.26796899771074,-50.267968997710746,1.5647246119707499,0.0,0.0,0.0,0.0,-1.3,-1.4,99,996.1,25.3,210,100,100,100,84,0.6,0.2,0.28,73,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,01:00:00,0.0,53.89163223852262,134.8732493379715,-44.87324933797149,2.564396112683562,0.0,0.0,0.0,0.0,-0.9,-1.0,99,996.4,25.6,209,100,100,99,77,0.8,0.2,0.42,73,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,02:00:00,0.0,69.977142725528,128.0852448263677,-38.08524482636769,3.564067763045663,0.0,0.0,0.0,0.0,-0.7,-0.8,99,996.9,24.1,202,100,93,98,74,1.2,0.0,0.84,75,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,03:00:00,0.0,84.04315619543658,120.59435469903983,-30.594354699039823,4.5637395636829545,0.0,0.0,0.0,0.0,-0.4,-0.6,98,997.2,23.5,205,100,79,91,37,1.1,0.0,0.77,73,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,04:00:00,0.0,96.89577252203965,112.90807765926358,-22.90807765926358,5.563411515222348,0.0,0.0,0.0,0.0,-0.6,-1.1,96,998.5,22.8,198,100,84,95,13,0.5,0.0,0.35,73,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,05:00:00,0.0,109.17709306478916,105.41885900667866,-15.418859006678654,6.563083618289807,0.0,0.0,0.0,0.0,-1.1,-1.9,94,999.5,21.8,193,100,97,74,0,0.2,0.0,0.14,71,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,06:00:00,0.0,121.36701148665914,98.46556248413302,-8.465562484133018,7.562755873510711,0.0,0.0,0.0,0.0,-2.0,-3.1,92,1000.8,21.6,182,100,96,31,0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,07:00:00,0.0,133.80683146399335,92.37023630263836,-2.3702363026383617,8.562428281509915,0.0,0.0,0.0,0.0,-1.9,-3.1,91,1002.3,21.3,176,95,100,8,0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,08:00:00,0.0,146.70141782084724,87.44980881861355,2.5501911813864524,9.562100842912287,5.0,0.0,5.0,0.0,-2.9,-4.6,88,1004.1,21.6,169,90,100,0,0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,09:00:00,175.3691666666667,160.10132208107078,84.00199458679913,5.998005413200866,10.56177355834061,31.0,1.0,30.0,11.2,-3.5,-5.4,86,1005.9,22.8,164,89,99,0,0,0.0,0.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,10:00:00,1138.555833333333,173.89018412608183,82.26700065753916,7.732999342460838,11.561446428419204,56.0,1.0,55.0,8.2,-3.7,-6.0,84,1007.5,22.6,155,77,85,0,0,0.0,0.0,0.0,2,15.0,427.30600310721525,0.0,0.0,0.0,0.0
2022-01-01,11:00:00,1052.8283333333334,187.81400773897897,82.37794014505053,7.62205985494947,12.561119453769242,80.0,26.0,54.0,190.6,-3.9,-6.6,82,1008.9,21.3,158,35,39,0,0,0.0,0.0,0.0,1,1586.0,3446.0049748728397,0.0,0.0,0.0,0.0
2022-01-01,12:00:00,559.2225,201.56863580837324,84.3259286396193,5.674071360380699,13.560792635014543,81.0,32.0,49.0,270.1,-4.5,-7.3,81,1010.2,24.5,163,18,20,0,0,0.0,0.0,0.0,0,2560.0,4121.346107719705,0.0,0.0,0.0,0.0
2022-01-01,13:00:00,88.52833333333332,214.91300460339397,87.96255460419553,2.037445395804468,14.560465972776827,49.0,21.0,28.0,243.1,-5.4,-8.0,82,1011.2,25.4,168,10,11,0,0,0.0,0.0,0.0,0,1869.0,2591.3173051536983,0.0,0.0,0.0,0.0
2022-01-01,14:00:00,0.0,227.7503838935045,93.03800818943645,-3.0380081894364563,15.560139467675583,5.0,1.0,4.0,18.2,-6.1,-8.5,83,1012.3,28.2,170,4,4,0,0,0.0,0.0,0.0,0,96.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,15:00:00,0.0,240.15102999766748,99.25048211580486,-9.250482115804855,16.559813120334184,0.0,0.0,0.0,0.0,-6.6,-8.9,84,1013.2,30.6,160,3,3,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,16:00:00,0.0,252.33705109684553,106.28192437421936,-16.281924374219358,17.559486931369975,0.0,0.0,0.0,0.0,-7.2,-9.3,85,1013.9,28.7,155,8,9,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,17:00:00,0.0,264.6659591687539,113.80896403516823,-23.80896403516823,18.55916090140303,0.0,0.0,0.0,0.0,-7.7,-9.8,85,1014.5,25.5,157,4,4,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,18:00:00,0.0,277.6357194199577,121.48815149713366,-31.488151497133664,19.558835031054524,0.0,0.0,0.0,0.0,-8.6,-10.7,85,1015.0,24.7,161,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,19:00:00,0.0,291.90889993729786,128.9161215932246,-38.91612159322461,20.558509320940182,0.0,0.0,0.0,0.0,-10.0,-11.8,87,1015.5,25.6,166,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,20:00:00,0.0,308.30336658144785,135.56572831305033,-45.56572831305034,21.558183771678458,0.0,0.0,0.0,0.0,-11.7,-13.4,88,1016.0,26.6,164,0,0,0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,21:00:00,0.0,327.572427663016,140.72219236101552,-50.7221923610155,22.55785838388831,0.0,0.0,0.0,0.0,-12.4,-13.9,89,1016.1,24.8,167,3,0,3,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,22:00:00,0.0,349.68429300089997,143.53142813010228,-53.531428130102285,23.55753315818493,0.0,0.0,0.0,0.0,-10.1,-12.0,86,1015.6,26.1,165,0,0,0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,23:00:00,0.0,12.959214578266575,143.3495126710563,-53.349512671056296,0.5572080951851035,0.0,0.0,0.0,0.0,-10.5,-12.2,87,1015.5,25.7,162,1,0,2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02,00:00:00,0.0,34.79118933027105,140.2225530825078,-50.222553082507794,1.5568831963874061,0.0,0.0,0.0,0.0,-9.7,-11.7,86,1014.7,10.0,249,38,0,42,43,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02,01:00:00,0.0,53.70149520282105,134.84633058615862,-44.84633058615863,2.556558460641198,0.0,0.0,0.0,0.0,-12.9,-14.3,90,1014.4,11.3,248,63,46,20,32,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02,02:00:00,0.0,69.80349772881095,128.0694850388099,-38.06948503880989,3.5562338894439565,0.0,0.0,0.0,0.0,-11.9,-13.5,88,1013.8,11.7,252,100,51,92,100,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02,03:00:00,0.0,83.8836484371245,120.583326864191,-30.583326864190997,4.555909483409687,0.0,0.0,0.0,0.0,-9.9,-11.5,88,1012.5,11.2,264,94,4,100,100,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02,04:00:00,0.0,96.74657752719537,112.89661407112796,-22.896614071127956,5.555585243153465,0.0,0.0,0.0,0.0,-8.2,-9.8,88,1011.7,11.9,265,94,4,100,100,0.1,0.0,0.07,71,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02,05:00:00,0.0,109.03485455282394,105.40273000456146,-15.402730004561464,6.555261169284411,0.0,0.0,0.0,0.0,-6.5,-8.0,89,1011.0,12.3,277,93,3,100,100,0.3,0.0,0.21,73,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02,06:00:00,0.0,121.22945900512771,98.44116282283474,-8.441162822834734,7.554937262417533,0.0,0.0,0.0,0.0,-5.4,-6.8,90,1009.5,15.1,288,100,24,100,86,0.6,0.0,0.42,73,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02,07:00:00,0.0,133.67303448781038,92.33446291680212,-2.334462916802127,8.554613523164626,0.0,0.0,0.0,0.0,-4.8,-6.0,91,1008.0,18.4,293,82,19,100,15,0.7,0.0,0.49,73,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02,08:00:00,0.0,146.5719393296935,87.40016429163254,2.5998357083674604,9.55428995213521,3.0,0.0,3.0,0.0,-4.5,-6.1,89,1006.9,20.8,293,100,60,100,5,0.2,0.0,0.14,71,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02,09:00:00,0.0,159.97816617621353,83.93688072602338,6.063119273976623,10.553966549941565,13.0,0.0,13.0,0.0,-4.6,-6.6,86,1005.9,21.7,297,100,98,100,22,0.2,0.0,0.14,71,0.0,0.0,175.3691666666667,0.0,0.0,0.0
2022-01-02,10:00:00,0.0,173.776297069235,82.18606043096281,7.813939569037192,11.553643317193709,18.0,0.0,18.0,0.0,-4.9,-7.1,84,1004.3,21.5,301,100,100,100,77,0.2,0.0,0.14,71,0.0,0.0,1138.555833333333,175.3691666666667,0.0,0.0
2022-01-02,11:00:00,55.00666666666667,187.71228325103183,82.28220393424427,7.717796065755732,12.553320254499507,26.0,0.0,26.0,0.0,-5.0,-7.3,84,1002.3,22.9,298,100,100,97,79,0.1,0.0,0.07,71,0.0,0.0,1052.8283333333334,1138.555833333333,0.0,0.0
2022-01-02,12:00:00,26.28833333333333,201.48082838683592,84.21757529244576,5.782424707554241,13.552997362470007,31.0,0.0,31.0,0.0,-4.8,-7.1,84,1001.0,22.9,294,100,100,72,54,0.1,0.0,0.07,71,0.0,0.0,559.2225,1052.8283333333334,0.0,0.0
2022-01-02,13:00:00,0.0,214.83915234583327,87.8443518404709,2.155648159529097,14.552674641711917,18.0,0.0,18.0,0.0,-4.7,-6.9,85,999.7,21.8,292,100,100,41,97,0.0,0.0,0.0,3,0.0,0.0,88.52833333333332,559.2225,0.0,0.0
