date,time,Power,solar_azimuth,solar_zenith,solar_elevation,solar_time,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,temperature_2m,dewpoint_2m,relativehumidity_2m,surface_pressure,windspeed_10m,winddirection_10m,cloudcover,cloudcover_low,cloudcover_mid,cloudcover_high,precipitation,rain,snowfall,weathercode,cloud_radiation,pvsim,Lag_24,Lag_25,Lag_48,Lag_72,pred_gbm,pred_lstm,pred_saed
1/1/2022,0:00:00,0,34.99376975,140.267969,-50.267969,1.564724612,0,0,0,0,-1.3,-1.4,99,996.1,25.3,210,100,100,100,84,0.6,0.2,0.28,73,0,0,0,0,0,0,0,0,0
1/1/2022,1:00:00,0,53.89163224,134.8732493,-44.87324934,2.564396113,0,0,0,0,-0.9,-1,99,996.4,25.6,209,100,100,99,77,0.8,0.2,0.42,73,0,0,0,0,0,0,0,0,0
1/1/2022,2:00:00,0,69.97714273,128.0852448,-38.08524483,3.564067763,0,0,0,0,-0.7,-0.8,99,996.9,24.1,202,100,93,98,74,1.2,0,0.84,75,0,0,0,0,0,0,0,0,0
1/1/2022,3:00:00,0,84.0431562,120.5943547,-30.5943547,4.563739564,0,0,0,0,-0.4,-0.6,98,997.2,23.5,205,100,79,91,37,1.1,0,0.77,73,0,0,0,0,0,0,0,0,0
1/1/2022,4:00:00,0,96.89577252,112.9080777,-22.90807766,5.563411515,0,0,0,0,-0.6,-1.1,96,998.5,22.8,198,100,84,95,13,0.5,0,0.35,73,0,0,0,0,0,0,0,0,0
1/1/2022,5:00:00,0,109.1770931,105.418859,-15.41885901,6.563083618,0,0,0,0,-1.1,-1.9,94,999.5,21.8,193,100,97,74,0,0.2,0,0.14,71,0,0,0,0,0,0,0,0,0
1/1/2022,6:00:00,0,121.3670115,98.46556248,-8.465562484,7.562755874,0,0,0,0,-2,-3.1,92,1000.8,21.6,182,100,96,31,0,0,0,0,3,0,0,0,0,0,0,0,0,0
1/1/2022,7:00:00,0,133.8068315,92.3702363,-2.370236303,8.562428282,0,0,0,0,-1.9,-3.1,91,1002.3,21.3,176,95,100,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0
1/1/2022,8:00:00,0,146.7014178,87.44980882,2.550191181,9.562100843,5,0,5,0,-2.9,-4.6,88,1004.1,21.6,169,90,100,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
1/1/2022,9:00:00,175.3691667,160.1013221,84.00199459,5.998005413,10.56177356,31,1,30,11.2,-3.5,-5.4,86,1005.9,22.8,164,89,99,0,0,0,0,0,3,1,0,0,0,0,0,145.2828539,175.3691667,175.3691667
1/1/2022,10:00:00,1138.555833,173.8901841,82.26700066,7.732999342,11.56144643,56,1,55,8.2,-3.7,-6,84,1007.5,22.6,155,77,85,0,0,0,0,0,2,15,427.3060031,0,0,0,0,413.7501271,1138.555833,1138.555833
1/1/2022,11:00:00,1052.828333,187.8140077,82.37794015,7.622059855,12.56111945,80,26,54,190.6,-3.9,-6.6,82,1008.9,21.3,158,35,39,0,0,0,0,0,1,1586,3446.004975,0,0,0,0,430.369639,1052.828333,1052.828333
1/1/2022,12:00:00,559.2225,201.5686358,84.32592864,5.67407136,13.56079264,81,32,49,270.1,-4.5,-7.3,81,1010.2,24.5,163,18,20,0,0,0,0,0,0,2560,4121.346108,0,0,0,0,1820.889761,559.2225,559.2225
1/1/2022,13:00:00,88.52833333,214.9130046,87.9625546,2.037445396,14.56046597,49,21,28,243.1,-5.4,-8,82,1011.2,25.4,168,10,11,0,0,0,0,0,0,1869,2591.317305,0,0,0,0,960.6255959,88.52833333,88.52833333
