date,time,Power,solar_azimuth,solar_zenith,solar_elevation,solar_time,is_day,shortwave_radiation,shortwave_radiation_instant,direct_radiation,direct_radiation_instant,diffuse_radiation,diffuse_radiation_instant,direct_normal_irradiance,direct_normal_irradiance_instant,terrestrial_radiation,terrestrial_radiation_instant,uv_index_clear_sky,uv_index,temperature_2m,dewpoint_2m,relativehumidity_2m,surface_pressure,windspeed_10m,winddirection_10m,cloudcover,cloudcover_low,cloudcover_mid,cloudcover_high,visibility,precipitation_probability,precipitation,rain,showers,snowfall,snow_depth,weathercode,cloud_radiation,pvsim,Lag_24,Lag_25,Lag_48,Lag_72
2023-04-25,11:00:00,144.06009315907656,193.61278251886037,46.823163418552994,43.176836581447006,12.676881351980011,1,691.0,685.2,519.4,515.0,171.6,170.1,752.5,752.5,933.5,925.6,4.95,4.95,20.6,9.5,49,999.8,19.1,164,12,0,40,0,24140.0,10,0.0,0.0,0.0,0.0,0.0,0,51500.0,1655.944238018084,0.0,0.0,0.0,0.0
2023-04-28,05:00:00,351.64715443574977,91.501277974843,72.71106468126077,17.288935318739238,6.684249599577455,1,177.0,225.8,81.6,104.1,95.4,121.7,350.5,350.5,314.5,401.3,0.85,0.85,3.0,-0.6,77,1011.2,8.6,183,19,55,0,0,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,4684.5,154.66917449035057,29.82264652254314,29.82264652254314,29.82264652254314,29.82264652254314
2023-04-28,06:00:00,223.5278363036126,104.84278774809398,65.15550320599718,24.844496794002826,7.684353138852691,1,324.0,378.5,198.0,231.3,126.0,147.2,550.6,550.6,485.6,567.4,1.7,1.7,4.6,-0.0,72,1011.3,8.6,187,6,76,0,0,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,5551.200000000001,453.9167392848506,33.47551587704421,33.47551587704421,33.47551587704421,33.47551587704421
2023-04-29,09:00:00,1799.4472399816873,153.6147845206776,47.25543279855947,42.74456720144053,10.687055082608586,1,586.0,610.2,397.9,414.3,188.1,195.9,610.5,610.5,879.6,916.0,4.35,4.35,8.8,3.0,67,1012.4,11.2,253,5,41,59,12,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,24443.7,1346.2516389252737,61.66909576654956,61.66909576654956,61.66909576654956,61.66909576654956
2023-04-29,10:00:00,143.32433444130098,173.57632797823533,45.083184013062535,44.916815986937465,11.687151663558769,1,731.0,742.4,569.7,578.6,161.3,163.8,819.6,819.6,938.2,952.9,4.85,4.85,10.0,-0.6,48,1012.5,9.7,269,9,1,47,0,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,57281.4,1750.6308176674945,301.3464182507593,301.3464182507593,301.3464182507593,301.3464182507593
2023-05-01,02:00:00,20.24336720144261,52.76827578540109,93.29155970515592,-3.2915597051559238,3.6908073389895377,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,93,1011.5,10.4,206,7,43,0,0,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01,03:00:00,23.707280109178257,65.69391380687922,86.72921946866782,3.2707805313321785,4.690893496538101,1,7.0,19.2,0.2,0.6,6.8,18.6,3.5,7.1,27.9,76.6,0.05,0.05,0.6,-0.4,93,1011.0,10.4,199,14,39,0,0,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,36.6,7.949971362722305,22.71871571475931,22.71871571475931,22.71871571475931,22.71871571475931
2023-05-01,04:00:00,27.05433156541379,78.3329218594349,79.46837581206864,10.53162418793136,5.690979396629897,1,87.0,133.2,31.8,48.7,55.2,84.6,249.8,266.6,160.7,246.1,0.35,0.35,1.4,-0.1,90,1010.8,11.2,202,4,35,0,0,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,3165.5,100.76294932405104,26.590758494515715,26.590758494515715,26.590758494515715,26.590758494515715
2023-05-01,05:00:00,275.0449909490462,91.07677800788856,71.86871648565949,18.13128351434051,6.691065039118314,1,210.0,264.4,109.5,137.9,100.5,126.5,443.4,443.4,333.0,419.3,0.9,0.9,3.1,0.5,83,1010.8,12.6,221,3,4,38,0,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,13238.4,160.10532295400532,30.43456973570049,30.43456973570049,30.43456973570049,30.43456973570049
2023-05-01,06:00:00,590.3881625801632,104.41410764062309,64.3059072000288,25.6940927999712,7.691150423859138,1,349.0,405.3,221.2,256.9,127.8,148.4,592.9,592.9,503.1,584.3,1.75,1.75,5.1,1.0,75,1011.2,12.6,251,8,10,34,0,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,23121.0,462.2939957533711,31.83184283157745,31.83184283157745,31.83184283157745,31.83184283157745
2023-05-01,07:00:00,1595.49031107927,118.91522699575056,57.20985777404773,32.79014222595227,8.69123555070587,1,482.0,533.7,340.0,376.4,142.0,157.2,695.3,695.3,659.3,729.9,2.7,2.7,7.4,-0.6,57,1011.3,10.8,262,0,28,29,0,24140.0,2,0.0,0.0,0.0,0.0,0.0,0,27100.8,902.7454256778012,41.353346419320864,41.353346419320864,41.353346419320864,41.353346419320864
2023-05-01,08:00:00,1434.283341884629,135.16050625548056,51.10897650715163,38.89102349284837,9.691320419513945,1,600.0,641.9,449.9,481.3,150.1,160.6,766.8,766.8,791.0,846.3,3.65,3.5,9.6,0.7,54,1011.4,10.4,263,2,20,46,0,24140.0,4,0.0,0.0,0.0,0.0,0.0,0,38504.0,1293.22750400931,416.3283741310069,416.3283741310069,416.3283741310069,416.3283741310069
2023-05-03,03:00:00,24.91480730683317,65.45393393080518,86.17673612627561,3.8232638737243865,4.694723712547714,1,10.0,26.2,0.7,1.9,9.3,24.3,10.2,21.4,34.2,89.4,0.05,0.05,2.4,0.9,90,1014.5,8.3,239,5,22,41,0,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,148.2,15.42446005051963,24.13579488286948,24.13579488286948,24.13579488286948,24.13579488286948
2023-05-03,13:00:00,1709.7121484550264,231.70456532194427,52.70699686058765,37.29300313941236,14.695445621172269,1,661.0,622.8,504.0,474.9,157.0,147.9,783.9,783.9,865.9,815.9,4.2,4.2,12.1,-1.1,40,1017.2,16.9,272,18,4,42,0,24140.0,15,0.0,0.0,0.0,0.0,0.0,0,45590.4,1391.0464802158458,28.773378414177166,28.773378414177166,28.773378414177166,28.773378414177166
2023-05-03,14:00:00,786.2349670850314,247.25761192377263,59.26562609727881,30.734373902721185,15.695516356242114,1,576.0,525.3,429.3,391.5,146.7,133.8,766.0,766.0,754.7,688.2,3.4,3.4,10.7,-0.5,46,1017.3,15.8,269,7,0,0,0,24140.0,8,0.0,0.0,0.0,0.0,0.0,0,39150.0,1054.3228902185328,26.83458893730422,26.83458893730422,26.83458893730422,26.83458893730422
2023-05-03,15:00:00,200.24079339450296,261.25352703026766,66.59141431570959,23.40858568429041,16.695586826160223,1,451.0,393.3,313.1,273.0,137.9,120.3,687.3,687.3,613.4,535.0,2.45,2.45,10.5,0.7,51,1017.6,14.4,265,0,3,36,0,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,26481.0,594.269968249714,26.90715247404528,26.90715247404528,26.90715247404528,26.90715247404528
2023-05-03,16:00:00,39.02198317922647,274.2963471847929,74.19645042721864,15.803549572781366,17.695657030812278,1,308.0,250.0,186.8,151.6,121.2,98.4,556.8,556.8,451.7,366.7,1.5,1.5,10.1,1.7,56,1017.9,13.7,260,0,2,49,4,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,14856.8,137.34047267342496,25.73497659069352,25.73497659069352,25.73497659069352,25.73497659069352
2023-05-03,17:00:00,21.57320717415196,286.9327968372695,81.67714350556447,8.322856494435527,18.6957269700845,1,170.0,118.0,81.3,56.4,88.7,61.6,389.9,389.9,280.7,194.9,0.75,0.75,9.7,2.3,60,1018.0,12.2,260,0,0,99,90,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,5640.0,62.89741921453889,22.43698437807709,22.43698437807709,22.43698437807709,22.43698437807709
2023-05-03,18:00:00,16.79172708225352,299.6144966868409,88.66909115152193,1.3309088484780685,19.695796643865584,1,57.0,15.9,17.7,4.9,39.3,10.9,162.9,56.5,112.0,31.2,0.2,0.2,7.7,2.2,68,1018.1,14.0,253,1,0,77,11,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,490.00000000000006,0.0,0.0,0.0,0.0,0.0
2023-05-04,03:00:00,23.81147823329481,65.33393119976135,85.90776334625971,4.092236653740281,4.696411743327387,1,8.0,20.6,0.1,0.2,7.9,20.4,0.9,1.9,37.2,95.7,0.05,0.05,2.2,-6.2,54,1021.8,18.4,343,19,33,0,0,24140.0,68,0.0,0.0,0.0,0.0,0.0,0,13.4,10.135783441413157,24.91480730683317,24.91480730683317,24.91480730683317,24.91480730683317
2023-05-04,04:00:00,27.5005398152738,77.93241870804815,78.66325600920626,11.336743990793735,5.696478756111302,1,100.0,147.4,38.8,57.2,61.2,90.2,289.7,291.2,179.3,264.3,0.4,0.4,2.1,-6.3,54,1022.2,16.2,344,1,0,0,0,24140.0,45,0.0,0.0,0.0,0.0,0.0,0,5720.0,108.31945008099297,30.240307740460707,30.240307740460707,30.240307740460707,30.240307740460707
2023-05-04,05:00:00,235.31182429631997,90.6509115819572,71.06945905472057,18.930540945279432,6.696545502199979,1,231.0,287.5,126.4,157.3,104.6,130.2,485.2,485.2,350.7,436.4,1.0,1.0,2.6,-7.1,49,1022.5,14.8,346,0,0,0,0,24140.0,23,0.0,0.0,0.0,0.0,0.0,0,15730.000000000002,165.63505139817246,265.5003064837089,265.5003064837089,265.5003064837089,265.5003064837089
2023-05-04,06:00:00,772.0659353488039,103.9813147647556,63.49980669666984,26.50019330333016,7.696611981488422,1,373.0,430.9,243.4,281.3,129.6,149.7,630.7,630.7,519.7,600.4,1.9,1.9,3.0,-7.5,46,1023.0,13.7,336,0,0,0,0,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,28130.0,472.0990859338012,816.0503242462747,816.0503242462747,816.0503242462747,816.0503242462747
2023-05-04,07:00:00,1361.254076261697,118.50525749581782,56.38390732331405,33.61609267668595,8.696678193870817,1,511.0,564.1,369.4,407.8,141.6,156.3,736.9,736.9,674.9,745.0,2.85,2.85,3.9,-6.4,47,1023.1,14.0,321,4,0,0,0,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,40780.0,945.0683340449868,1462.3472104972443,1462.3472104972443,1462.3472104972443,1462.3472104972443
2023-05-04,08:00:00,1882.9259637499952,134.8245365336284,50.2538071888395,39.7461928111605,9.696744139242352,1,635.0,678.2,487.3,520.5,147.7,157.7,814.3,814.3,805.7,860.5,3.75,3.75,4.4,-6.5,45,1023.3,14.0,313,4,4,58,0,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,49968.0,1378.8778032031864,1365.0160194030598,1365.0160194030598,1365.0160194030598,1365.0160194030598
2023-05-04,09:00:00,1017.66124159577,153.31535559558168,45.76061706160704,44.23938293839296,10.696809817499313,1,731.0,760.0,578.9,601.9,152.1,158.1,862.9,862.9,903.2,939.0,4.5,4.5,5.5,-7.7,38,1023.7,11.9,310,5,16,97,0,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,50559.6,1689.399754355289,1811.0182603685464,1811.0182603685464,1811.0182603685464,1811.0182603685464
2023-05-04,15:00:00,223.28674386355044,261.4413341439999,66.35541026668115,23.64458973331885,16.697198271857047,1,394.0,344.1,245.5,214.4,148.5,129.7,534.6,534.6,618.1,539.8,2.45,2.4,6.3,-6.0,41,1023.5,16.9,269,17,61,0,0,24140.0,6,0.0,0.0,0.0,0.0,0.0,0,8361.6,517.1122998411013,200.24079339450296,200.24079339450296,200.24079339450296,200.24079339450296
2023-05-04,16:00:00,59.32217799917468,274.4765255261401,73.96146735706334,16.038532642936662,17.697262077438655,1,282.0,229.6,158.4,129.0,123.6,100.6,466.9,466.9,456.7,371.9,1.5,1.5,6.2,-6.1,41,1023.3,16.9,272,16,0,0,0,24140.0,4,0.0,0.0,0.0,0.0,0.0,0,12900.0,136.72911254198016,39.02198317922647,39.02198317922647,39.02198317922647,39.02198317922647
2023-05-05,02:00:00,19.33025888687258,52.36432868177146,92.17506895482852,-2.1750689548285327,3.697885381949186,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-5.4,58,1025.0,14.0,358,15,63,1,0,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,20.04986593136404,20.04986593136404,20.04986593136404,20.04986593136404
2023-05-05,03:00:00,23.955368322568763,65.21395604245053,85.6437492492518,4.356250750748209,4.697946234968526,1,15.0,38.0,2.2,5.6,12.8,32.4,29.9,64.5,40.2,101.9,0.05,0.05,1.9,-5.3,59,1025.0,14.4,354,8,14,0,0,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,481.6,26.356014664253085,23.81147823329481,23.81147823329481,23.81147823329481,23.81147823329481
2023-05-05,04:00:00,25.3465679351444,77.79903002665792,78.40476209467461,11.595237905325396,5.698006819001459,1,98.0,142.8,36.1,52.6,61.9,90.2,262.0,262.0,185.3,270.1,0.4,0.4,2.0,-7.1,51,1025.3,14.8,350,9,0,0,0,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,5260.0,109.36721495712716,27.5005398152738,27.5005398152738,27.5005398152738,27.5005398152738
2023-05-05,14:00:00,327.119217037952,247.63276505287985,58.78288645435424,31.21711354564576,15.698597845001109,1,585.0,534.2,437.8,399.8,147.2,134.4,771.4,771.4,763.6,697.3,3.4,3.4,5.6,-8.4,36,1027.4,13.0,346,12,62,6,0,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,15192.4,1067.5481917503375,296.6170384142993,296.6170384142993,296.6170384142993,296.6170384142993
2023-05-05,16:00:00,107.07708106212304,274.6526651376749,73.72918503172491,16.270814968275086,17.698712813338567,1,289.0,236.0,164.9,134.6,124.1,101.4,480.4,480.4,461.7,377.0,1.5,1.5,5.7,-6.2,42,1027.5,9.4,341,8,75,21,0,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,3365.0,134.1028262418495,59.32217799917468,59.32217799917468,59.32217799917468,59.32217799917468
2023-05-05,17:00:00,37.48488936718432,287.2666218003518,81.2015424804496,8.798457519550393,18.69876989233165,1,187.0,132.1,94.7,66.9,92.3,65.2,437.5,437.5,291.3,205.8,0.75,0.75,5.2,-6.1,44,1027.4,7.2,316,0,34,21,0,24140.0,0,0.0,0.0,0.0,0.0,0.0,0,4415.400000000001,69.3848440236972,32.100443144931305,32.100443144931305,32.100443144931305,32.100443144931305
