date,time,Power,solar_azimuth,solar_zenith,solar_elevation,solar_time,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,temperature_2m,dewpoint_2m,relativehumidity_2m,surface_pressure,windspeed_10m,winddirection_10m,cloudcover,cloudcover_low,cloudcover_mid,cloudcover_high,precipitation,rain,snowfall,weathercode,cloud_radiation,pvsim,Lag_24,Lag_25,Lag_48,Lag_72
2022-10-18,14:00:00,330.1925,237.3907784501896,82.94150483486757,7.058495165132424,15.8678262305552,88.0,38.0,50.0,216.1,9.1,6.5,83,1008.3,14.7,169,31,33,3,0,0.0,0.0,0.0,1,2546.0,1609.692967258028,2066.5916666666667,3929.115833333333,243.47333333333333,1307.075
2022-07-18,08:00:00,13991.033333333333,128.7444896383298,46.44403122392046,43.55596877607954,9.515947829433678,375.0,213.0,162.0,329.3,16.4,10.4,68,1011.6,1.9,158,44,33,23,0,0.0,0.0,0.0,1,14271.0,8855.45311169445,5997.7625,7935.258333333332,11157.8175,8808.042500000001
2022-04-09,14:00:00,12412.460833333333,241.6547421724553,65.49406902466451,24.50593097533549,15.594172796013616,372.0,231.0,141.0,496.7,4.2,-2.3,63,985.3,25.2,233,27,18,18,0,0.0,0.0,0.0,1,18942.0,7807.4217940428225,2568.334166666667,3053.55,2450.561666666667,11423.015
2022-06-01,03:00:00,5.7,61.79963924673159,80.9069332761369,9.09306672386311,4.65693555684259,52.0,23.0,29.0,200.8,8.4,7.3,93,1011.4,6.0,17,38,31,11,11,0.0,0.0,0.0,1,1587.0,0.0,0.0,0.0,1376.92,1686.9375
2022-03-28,13:00:00,3909.6925,223.56127269873264,63.23489908916768,26.765100910832324,14.535955864079396,477.0,388.0,89.0,797.2,6.4,-2.0,55,990.5,31.2,161,26,11,24,4,0.0,0.0,0.0,1,34532.0,13143.196306760956,10134.945833333331,19720.39,2509.6366666666668,13923.443333333336
2022-08-16,16:00:00,1461.493333333333,271.33398219612377,74.90265369307724,15.097346306922756,17.54915685950143,248.0,173.0,75.0,533.1,28.5,16.0,47,1009.8,10.2,321,34,3,21,63,0.0,0.0,0.0,1,16781.0,1301.4506376094284,1610.1049999999998,3873.338333333333,1626.635,2155.8366666666666
2022-08-22,17:00:00,355.81,283.2988530817736,84.39727376244396,5.602726237556036,18.572695397513268,103.0,59.0,44.0,361.7,20.6,14.8,69,1014.0,2.3,129,35,3,5,98,0.0,0.0,0.0,1,5723.0,0.0,81.2375,778.1891666666667,319.08750000000003,472.125
2023-04-20,16:00:00,1161.6916666666666,271.3829343783907,77.29663995390783,12.703360046092165,17.637944042220578,224.0,152.0,72.0,534.0,9.9,0.3,51,1022.2,13.5,312,25,0,1,82,0.0,0.0,0.0,1,15200.0,878.4826382780705,1377.3841666666667,6471.9975,1355.8691666666666,1332.2016666666666
2022-03-13,09:00:00,16595.970833333333,154.3250473721153,64.60598815166077,25.39401184833924,10.461835118756465,327.0,160.0,167.0,402.8,1.0,-1.0,87,1024.1,7.1,204,28,0,0,94,0.0,0.0,0.0,1,16000.0,11321.610598274285,15961.565,14520.970833333333,16967.47,16015.949166666664
2022-10-07,10:00:00,7932.4725,177.07129875571565,64.70714560643088,25.292854393569108,11.822646715183303,323.0,227.0,96.0,542.8,14.0,8.5,69,1010.9,30.0,200,49,32,27,13,0.0,0.0,0.0,1,15436.0,11924.201393083382,8828.505833333333,1686.3658333333333,2810.4225,1689.8491666666666
2023-05-09,10:00:00,19100.309166666662,173.11166500601664,41.91037560919267,48.08962439080733,11.67904391753873,712.0,516.0,196.0,703.7,13.9,-1.2,35,1022.5,14.1,230,30,0,0,99,0.0,0.0,0.0,1,51600.0,18663.99066539965,20919.176666666663,20886.245,16660.311666666665,8760.236666666666
2023-06-06,18:00:00,505.53,302.1862012948973,82.33370698386929,7.666293016130712,19.64181416469029,115.0,59.0,56.0,307.7,15.4,10.1,70,1012.7,11.4,246,25,0,28,28,0.0,0.0,0.0,1,5900.0,22.616223104256505,331.26416666666665,833.7283333333334,400.19250000000005,531.3691666666667
2022-08-07,15:00:00,1513.71,259.4081012883026,64.74384008166396,25.256159918336035,16.52387754250786,296.0,195.0,101.0,403.0,18.9,9.6,55,1014.8,14.2,196,38,19,35,0,0.0,0.0,0.0,1,15795.0,4063.751157912732,4137.835,5639.325833333333,6645.216666666667,6205.379166666667
2022-06-11,13:00:00,12482.235,235.0063992490236,45.43106502640838,44.56893497359162,14.625541298956884,544.0,380.0,164.0,515.8,20.9,13.3,62,1012.2,14.6,189,42,26,31,0,0.0,0.0,0.0,1,28120.0,10624.17593897914,8192.2875,11247.526666666668,11101.975,7338.570833333334
2023-02-10,13:00:00,1999.4658333333327,215.22576544526456,78.96538433804406,11.034615661955938,14.383619613171884,184.0,127.0,57.0,566.0,2.4,-5.6,56,1006.0,36.2,291,22,4,31,0,0.0,0.0,0.0,1,12192.0,7686.1535335381795,1077.7516666666668,3249.4283333333333,469.09083333333336,647.5500000000001
2022-03-07,05:00:00,75.45166666666667,98.31238978318224,91.19803973717325,-1.198039737173239,6.435533163317264,0.0,0.0,0.0,0.0,-1.8,-2.7,94,1009.6,15.1,93,22,24,0,0,0.0,0.0,0.0,1,0.0,0.0,147.1525,0.0,293.075,132.48666666666665
2022-07-16,16:00:00,3054.285,275.3053732320532,68.17954058030446,21.82045941969553,17.518243060667803,289.0,194.0,95.0,448.4,15.5,8.2,62,1004.9,17.6,181,50,45,14,2,0.0,0.0,0.0,1,10670.0,2369.8542891266784,2592.5175,3862.8333333333335,2777.8375,4476.145833333333
2022-04-13,06:00:00,10589.63,106.44385042504948,69.97105986723886,20.028940132761143,7.610218289594278,220.0,139.0,81.0,496.7,2.7,0.4,85,1020.1,5.9,133,27,0,0,90,0.0,0.0,0.0,1,13900.0,7497.091900903375,11580.984166666669,3905.3525,11074.345,3539.9483333333333
2022-01-17,11:00:00,887.3249999999999,186.44404765957884,79.99442843447021,10.005571565529792,12.452356215764215,110.0,56.0,54.0,318.2,-1.7,-5.3,77,985.4,34.7,95,42,33,12,17,0.0,0.0,0.0,1,3752.0,5678.131691241342,897.6350000000001,863.0733333333334,8986.294166666667,2977.668333333333
2022-05-22,11:00:00,22227.1,195.07009447646703,39.35817605816653,50.64182394183347,12.675592099075091,750.0,529.0,221.0,679.2,14.0,-0.2,38,1006.6,15.1,25,31,1,0,100,0.0,0.0,0.0,1,52371.0,18129.36427014962,18694.7025,22710.62583333333,2904.359166666667,20525.435833333333
2022-09-03,07:00:00,10914.713333333331,121.72129534543237,64.16392193253672,25.836078067463276,8.629622964641502,275.0,178.0,97.0,467.2,11.2,4.4,63,1018.3,11.5,122,47,29,34,0,0.0,0.0,0.0,1,12638.0,9035.470918399937,6656.325833333333,6684.174166666667,12744.559166666666,11265.363333333333
2022-09-23,09:00:00,11430.31,158.38796563824863,61.04287370838183,28.957126291618174,10.746632597737296,334.0,182.0,152.0,398.0,11.2,6.4,72,1013.8,3.3,257,40,24,31,0,0.0,0.0,0.0,1,13832.0,10461.192684311523,10440.931666666664,6906.105833333334,5137.405,8587.355833333333
2022-05-10,14:00:00,13225.089166666668,248.3633817334924,57.30071092569326,32.69928907430674,15.68001118230196,511.0,314.0,197.0,532.8,14.3,-0.6,36,1014.2,20.8,236,30,0,2,97,0.0,0.0,0.0,1,31400.0,9443.773696803377,12162.175833333333,7616.355,15237.69,1122.2883333333332
2022-06-06,10:00:00,18319.715,171.68169492246892,36.634244022677336,53.36575597732266,11.642127143203249,750.0,552.0,198.0,697.6,16.2,4.4,45,1016.3,5.1,82,29,0,0,96,0.0,0.0,0.0,1,55200.0,17775.31396923672,17939.913333333334,15026.071666666669,12347.336666666668,6706.110000000001
2022-08-17,04:00:00,420.0291666666667,77.32678082275112,81.90670803513098,8.093291964869024,5.550915264202852,35.0,8.0,27.0,75.0,20.6,17.2,81,1008.7,13.7,288,26,0,7,71,0.0,0.0,0.0,1,800.0,0.0,77.3175,0.0,539.7824999999999,500.6891666666667
2023-05-21,13:00:00,14565.005,234.09089974855408,48.34848880664597,41.65151119335403,14.67694559299933,684.0,569.0,115.0,812.0,20.8,2.0,29,1022.4,9.0,5,24,0,0,80,0.0,0.0,0.0,1,56900.0,13712.67902369667,15434.185,16976.9225,16251.703333333331,17942.48
2023-05-10,04:00:00,2240.65,76.77431587342734,77.43298475514173,12.567015244858272,5.679586579079417,86.0,27.0,59.0,174.8,5.0,1.3,77,1019.4,8.0,190,26,0,0,85,0.0,0.0,0.0,1,2700.0,1176.7815338584498,2106.335,718.5091666666667,2355.355,2221.5825
2023-04-11,16:00:00,1052.1408333333334,269.2239078746543,79.75093672954061,10.249063270459382,17.60236306863855,173.0,109.0,64.0,448.6,13.4,8.5,72,1008.5,3.0,166,25,11,21,8,0.0,0.0,0.0,1,9701.0,469.5578189845579,1129.128333333333,5938.576666666667,1442.5358333333334,1027.2766666666666
2023-06-06,11:00:00,14747.811666666666,194.84732696654265,37.09537511745106,52.90462488254894,12.642701167416629,744.0,596.0,148.0,742.5,19.3,10.2,56,1014.7,12.7,241,40,0,40,54,0.0,0.0,0.0,1,59600.0,17334.461706781498,19593.94916666667,20083.51333333333,9049.541666666666,16401.40166666667
2022-04-06,06:00:00,3347.770833333333,107.37374892634564,72.45618061095658,17.543819389043428,7.578736141499815,177.0,99.0,78.0,415.2,-1.9,-7.5,66,983.7,18.1,186,29,17,22,0,0.0,0.0,0.0,1,8217.0,6362.338456609798,363.98,59.69833333333333,4724.800833333334,9691.040833333334
2022-08-10,11:00:00,14396.304166666669,191.06959309193292,44.00623993561122,45.99376006438878,12.530423700691166,663.0,488.0,175.0,675.3,21.4,10.7,51,1022.0,11.0,199,32,6,0,89,0.0,0.0,0.0,1,45872.0,16359.774841663382,15150.88,13109.909166666666,5051.806666666666,15684.783333333333
2022-04-09,17:00:00,60.509166666666665,281.61028212258174,87.88833387126611,2.111666128733884,18.59473713912534,59.0,27.0,32.0,222.7,2.1,-1.9,75,986.4,21.9,253,26,11,26,0,0.0,0.0,0.0,1,2403.0,0.0,63.6825,353.37083333333334,0.0,45.3775
2023-04-24,17:00:00,158.79916666666665,284.9697232148853,83.8424967524087,6.157503247591291,18.650977971112933,82.0,31.0,51.0,179.6,11.4,6.7,73,1000.9,3.7,331,32,14,33,0,0.0,0.0,0.0,1,2666.0,33.846843459433764,247.32333333333327,1434.6366666666663,247.38083333333336,254.1925
2022-05-30,06:00:00,7564.669999999999,99.7915914600527,58.72083238749124,31.279167612508758,7.661476248094852,383.0,289.0,94.0,627.6,12.4,7.3,71,1010.7,10.9,297,49,53,2,0,0.0,0.0,0.0,1,13583.0,10090.10880041076,11258.104166666666,6287.197499999999,6767.5391666666665,7485.674166666667
2023-02-12,06:00:00,545.0324999999999,114.68776602894472,91.57429540325523,-1.574295403255254,7.383527042654456,0.0,0.0,0.0,0.0,-6.7,-7.7,93,1021.0,14.5,251,42,14,2,94,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,198.38666666666668,49.585
2022-12-24,11:00:00,5868.046666666666,188.70659544861635,82.88079714575704,7.119202854242956,12.628043945267352,92.0,54.0,38.0,419.1,-3.9,-5.2,91,1004.2,12.6,265,22,24,0,0,0.0,0.0,0.0,1,4104.0,6474.348198664606,495.37416666666667,761.9166666666666,232.48166666666668,0.0
2023-04-25,10:00:00,19556.311666666665,172.95883585216026,46.09621043488203,43.90378956511797,11.653046428228318,655.0,525.0,130.0,769.7,18.1,7.0,48,997.7,17.9,171,32,0,53,0,0.0,0.0,0.0,1,52500.0,18228.70603937975,9742.74,16760.498333333333,18899.6325,18449.03833333333
2023-06-10,07:00:00,15123.248333333337,112.9798218487337,50.53445120150745,39.46554879849255,8.630517134102146,555.0,452.0,103.0,773.1,15.1,1.5,40,1024.8,9.2,31,29,8,36,0,0.0,0.0,0.0,1,41584.0,14665.725353432324,16398.46416666667,13644.519166666669,14629.110833333334,15793.555833333334
2023-04-09,10:00:00,20748.091666666667,172.2730021799365,51.76074587246177,38.23925412753823,11.592317809562651,592.0,458.0,134.0,755.7,9.9,-0.0,50,1022.8,9.0,23,33,0,22,65,0.0,0.0,0.0,1,45800.0,17893.177088956945,21001.12,20747.334166666667,20269.246666666662,5161.495833333333
2022-02-11,14:00:00,979.0633333333334,229.132825465136,83.7356894824412,6.264310517558801,15.38345878793523,107.0,52.0,55.0,333.8,-1.0,-2.8,88,1003.9,15.6,161,32,21,21,0,0.0,0.0,0.0,1,4108.0,3303.096768436174,1039.3658333333333,3343.708333333333,225.535,18.370833333333334
2023-01-06,10:00:00,16.11,173.35611517842355,81.81470260057615,8.185297399423844,11.525307210049016,91.0,32.0,59.0,247.0,-9.1,-12.2,79,1022.5,4.7,81,38,42,0,0,0.0,0.0,0.0,1,1856.0,4868.847346388259,254.9,149.98833333333332,0.0,0.0
2022-08-15,10:00:00,13057.578333333331,170.67820762215405,45.40023802958257,44.59976197041743,11.54491885850599,631.0,513.0,118.0,744.6,27.6,17.0,52,1011.7,12.8,302,31,1,23,53,0.0,0.0,0.0,1,50787.0,16563.42783808257,13014.440833333334,14199.1875,15021.5775,17720.954166666666
2022-04-17,11:00:00,23168.08583333333,192.28042323503277,49.06560774999956,40.93439225000044,12.627143437915212,645.0,505.0,140.0,765.0,8.5,-2.4,46,1024.9,7.9,150,32,7,0,86,0.0,0.0,0.0,1,46965.0,17706.149700087062,24914.424166666668,25135.834166666667,12919.1,4834.036666666667
2022-07-04,18:00:00,611.8216666666666,301.06977744245256,81.57088482774355,8.42911517225645,19.54530807211588,109.0,42.0,67.0,204.5,21.7,12.6,56,1007.9,6.1,208,26,14,16,12,0.0,0.0,0.0,1,3612.0,277.6891572926602,485.14166666666665,878.9991666666666,16.951666666666664,471.5225
2022-12-24,12:00:00,2207.273333333333,202.38381643868823,84.94206620106011,5.0579337989398905,13.627698963587289,73.0,40.0,33.0,367.6,-3.7,-5.1,90,1004.9,12.6,265,25,28,0,0,0.0,0.0,0.0,1,2880.0,4716.890968289236,175.4675,495.37416666666667,221.73,0.0
2022-03-13,11:00:00,16283.204166666668,187.83459989149463,62.18492446178358,27.815075538216416,12.462213122981158,417.0,233.0,184.0,497.0,3.7,-0.2,76,1024.7,8.9,194,26,0,0,88,0.0,0.0,0.0,1,23300.0,13390.337041199591,16370.7625,16584.103333333333,16738.351666666666,17842.76916666667
