date,time,Power,solar_azimuth,solar_zenith,solar_elevation,solar_time,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,temperature_2m,dewpoint_2m,relativehumidity_2m,surface_pressure,windspeed_10m,winddirection_10m,cloudcover,cloudcover_low,cloudcover_mid,cloudcover_high,precipitation,rain,snowfall,weathercode,cloud_radiation,pvsim,Lag_24,Lag_25,Lag_48,Lag_72
2023-04-05,11:00:00,5372.010833333333,190.67613679394265,53.44892689001951,36.55107310998049,12.573814576418464,143.0,0.0,143.0,0.0,3.4,0.9,83,1018.5,9.5,101,100,100,97,44,0.2,0.2,0.0,51,0.0,2134.9240454360806,25051.529166666664,24877.924166666668,25121.779166666664,14216.520833333334
2022-02-25,06:00:00,451.4183333333333,112.68375360517072,87.33392708902015,2.666072910979843,7.402375456158597,2.0,0.0,2.0,0.0,1.3,-0.2,89,989.0,24.3,278,100,72,74,66,0.2,0.2,0.0,51,0.0,0.0,544.0308333333334,0.0,501.6258333333333,310.7941666666666
2022-08-22,04:00:00,584.1750000000001,78.42314123362326,83.16450087083048,6.835499129169523,5.570389519362672,2.0,0.0,2.0,0.0,18.0,17.6,97,1007.9,6.2,201,100,100,100,80,0.2,0.2,0.0,51,0.0,0.0,309.78000000000003,0.0,10.73,235.28583333333336
2022-07-12,19:00:00,43.23833333333334,312.8848915577013,88.43525669892892,1.5647433010710692,20.52510769777617,23.0,6.0,17.0,58.2,20.4,17.0,81,1003.6,18.1,77,100,95,39,68,0.1,0.1,0.0,51,30.0,0.0,49.97833333333333,453.3666666666666,35.01583333333333,103.90916666666668
2022-07-18,07:00:00,14547.1425,112.52876864456351,53.05589588503793,36.94410411496207,8.5160001874298,354.0,200.0,154.0,364.8,15.9,10.7,71,1011.1,2.6,124,85,48,59,21,0.1,0.1,0.0,51,10400.0,8489.98038510147,7935.258333333332,7109.819166666667,9695.710833333333,12629.760833333334
2022-04-29,12:00:00,19853.09,213.2100046449461,48.2313169654342,41.76868303456581,13.664196886137107,608.0,431.0,177.0,626.0,7.0,-3.5,47,1020.8,15.6,161,62,3,74,50,0.1,0.1,0.0,51,41807.0,15027.626379001716,8810.301666666666,5755.95,19663.311666666665,20336.114166666663
2022-01-27,09:00:00,593.1533333333333,157.04782030056882,79.9579038584272,10.042096141572804,10.408415802841356,40.0,1.0,39.0,7.0,0.7,0.3,97,991.6,16.5,250,100,98,99,94,0.1,0.1,0.0,51,2.0,47.718160967871206,2868.528333333333,1257.4191666666666,9405.261666666667,1388.5533333333333
2022-02-06,14:00:00,130.6325,228.5234967826496,85.21786587519543,4.782134124804565,15.385966057082197,40.0,0.0,40.0,0.0,1.1,0.6,96,979.9,18.5,249,100,100,99,84,0.1,0.1,0.0,51,0.0,0.0,45.208333333333336,294.6166666666667,0.0,0.0
2023-06-22,14:00:00,3848.931666666667,250.60018383219352,51.72187950353072,38.278120496469285,15.586923166078758,422.0,270.0,152.0,405.5,21.2,16.6,75,1005.8,18.3,285,18,14,9,0,0.1,0.1,0.0,51,23220.0,7158.72489052226,0.0,0.0,0.0,0.0
2022-06-02,04:00:00,1973.9116666666664,73.93076903007484,73.68542713534349,16.31457286465651,5.654243020796472,38.0,0.0,38.0,0.0,11.5,10.5,94,1000.1,21.0,275,100,100,97,47,0.3,0.3,0.0,51,0.0,0.0,2847.6266666666666,5.7,428.7408333333333,2633.035
2022-02-19,15:00:00,11.603333333333332,243.64475299343096,87.68833063882936,2.3116693611706443,16.39035058709186,29.0,0.0,29.0,0.0,0.5,-0.5,93,976.7,20.1,105,100,92,100,94,0.1,0.0,0.07,71,0.0,0.0,490.2533333333333,2819.2425000000003,0.0,4.023333333333333
2022-06-04,06:00:00,4532.345833333334,99.19043690219348,58.26513707415668,31.734862925843323,7.648519044286122,299.0,183.0,116.0,391.5,12.8,10.2,84,1010.7,16.1,209,81,86,6,0,0.1,0.1,0.0,51,2562.0,7234.445814874004,8751.165833333334,7244.797500000001,2003.3041666666668,13725.87
