time,shortwave_radiation (W/m²),shortwave_radiation_member01 (W/m²),shortwave_radiation_member02 (W/m²),shortwave_radiation_member03 (W/m²),shortwave_radiation_member04 (W/m²),shortwave_radiation_member05 (W/m²),shortwave_radiation_member06 (W/m²),shortwave_radiation_member07 (W/m²),shortwave_radiation_member08 (W/m²),shortwave_radiation_member09 (W/m²),shortwave_radiation_member10 (W/m²),shortwave_radiation_member11 (W/m²),shortwave_radiation_member12 (W/m²),shortwave_radiation_member13 (W/m²),shortwave_radiation_member14 (W/m²),shortwave_radiation_member15 (W/m²),shortwave_radiation_member16 (W/m²),shortwave_radiation_member17 (W/m²),shortwave_radiation_member18 (W/m²),shortwave_radiation_member19 (W/m²),shortwave_radiation_member20 (W/m²),shortwave_radiation_member21 (W/m²),shortwave_radiation_member22 (W/m²),shortwave_radiation_member23 (W/m²),shortwave_radiation_member24 (W/m²),shortwave_radiation_member25 (W/m²),shortwave_radiation_member26 (W/m²),shortwave_radiation_member27 (W/m²),shortwave_radiation_member28 (W/m²),shortwave_radiation_member29 (W/m²),shortwave_radiation_member30 (W/m²),shortwave_radiation_member31 (W/m²),shortwave_radiation_member32 (W/m²),shortwave_radiation_member33 (W/m²),shortwave_radiation_member34 (W/m²),shortwave_radiation_member35 (W/m²),shortwave_radiation_member36 (W/m²),shortwave_radiation_member37 (W/m²),shortwave_radiation_member38 (W/m²),shortwave_radiation_member39 (W/m²)
2023-08-01T00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-01T01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-01T02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-01T03:00,7,14,5,4,5,5,4,9,6,11,4,6,8,7,7,16,9,10,4,5,10,7,4,6,13,15,4,4,3,16,9,10,6,4,5,13,6,8,6,8
2023-08-01T04:00,31,70,19,17,15,20,25,25,26,46,22,26,44,28,24,68,29,29,15,28,30,24,16,22,38,49,31,19,17,57,24,45,23,18,24,38,24,32,27,23
2023-08-01T05:00,63,123,57,35,30,38,53,42,62,56,37,42,86,46,46,89,60,49,30,74,56,36,46,42,65,61,44,57,29,31,58,103,44,45,52,52,26,60,54,38
2023-08-01T06:00,101,116,52,35,37,50,72,65,97,63,96,42,67,66,58,92,63,43,43,91,98,66,81,63,87,57,55,36,44,56,90,59,60,75,78,74,47,68,65,52
2023-08-01T07:00,122,139,121,39,71,45,107,50,150,75,75,59,112,77,58,121,134,68,52,84,113,54,61,73,104,65,175,42,72,61,56,155,85,75,88,76,70,73,67,107
2023-08-01T08:00,199,68,184,99,108,46,132,84,164,193,88,152,89,104,79,109,84,128,56,199,131,137,63,50,67,106,185,126,49,190,154,149,118,114,157,114,166,186,75,281
2023-08-01T09:00,196,83,84,120,109,143,174,105,294,214,116,166,93,81,129,112,123,131,125,229,201,163,181,98,69,235,159,88,112,103,169,128,294,229,236,227,120,105,188,254
2023-08-01T10:00,252,110,108,106,215,344,329,159,277,242,268,210,125,133,233,137,194,174,182,181,234,280,225,175,132,278,238,224,128,126,294,240,321,187,375,310,292,172,240,290
2023-08-01T11:00,296,141,147,103,194,297,359,292,188,200,181,336,164,252,292,196,370,160,143,290,199,191,193,329,169,469,244,295,227,227,292,324,318,188,322,247,213,306,247,199
2023-08-01T12:00,435,211,230,103,230,207,263,318,296,207,236,269,146,224,286,137,197,215,213,274,310,231,242,308,249,322,300,252,168,354,200,304,364,366,339,247,201,321,222,171
2023-08-01T13:00,460,143,386,116,221,214,273,190,237,250,188,154,146,205,273,97,254,279,150,181,232,227,165,183,246,193,208,245,100,262,166,236,263,262,400,276,213,154,192,206
2023-08-01T14:00,335,99,270,144,139,168,175,150,169,150,153,141,126,139,298,146,153,236,157,199,133,107,149,173,93,154,155,229,111,262,102,129,181,219,202,212,143,102,159,201
2023-08-01T15:00,200,69,135,84,243,53,99,129,120,170,238,110,92,70,193,64,85,117,88,82,117,83,125,98,159,91,117,113,94,207,163,56,122,83,247,162,102,139,114,146
2023-08-01T16:00,110,65,141,101,96,77,115,92,71,84,153,136,61,72,86,79,103,86,91,77,95,71,82,60,108,90,55,113,60,89,75,61,80,64,155,198,150,135,158,137
2023-08-01T17:00,114,53,87,43,70,49,72,50,60,48,55,95,68,56,33,67,54,60,45,85,76,43,104,55,99,91,68,59,55,60,68,38,68,57,91,78,93,55,96,55
2023-08-01T18:00,44,24,41,19,31,27,46,31,33,26,29,32,36,31,29,28,33,36,26,35,35,38,42,26,20,42,33,20,16,38,22,23,31,21,39,32,23,30,34,31
2023-08-01T19:00,7,3,5,3,6,5,5,5,6,4,4,4,4,6,4,3,6,6,3,4,4,6,6,5,3,5,10,4,3,5,5,4,5,3,6,7,4,4,4,4
2023-08-01T20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-01T21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
